Day,Inflow,Release_Full,Release_Rolling,Storage_Full,Storage_Rolling,Revenue_Full,Revenue_Rolling
1,15,15.33,16.54,471590,366831,12.2707,13.2412
2,12,12.33,12.36,443181,335471,9.8692,9.8965
3,10,10.33,10.0,414772,335471,8.2682,8.005
4,8,10.33,10.0,213562,162671,8.2682,8.005
5,12,12.41,12.23,178051,142870,12.4187,12.2368
6,15,15.49,15.5,135506,100000,18.6024,18.607
7,18,18.41,18.0,100000,100000,18.4224,18.0112
